CODCURSO,NOMBRECURSO,DEPARTAMENTO,MATRICULADOS,PREMATRICULADOS,CICLO
EL0085,Tesis II,Departamento de Electrónica,7,5,2021 - 1
QI0041,Diseño de Reactores Químicos II,Departamento de Química,6,7,2021 - 1
EL7006,Instrumentación industrial,Departamento de Electrónica,17,15,2021 - 1
IN0002,Tesis en Ingeniería Industrial II,Departamento de Industrial,12,6,2021 - 1
IN0058,Procesos de Manufactura,Departamento de Industrial,54,36,2021 - 1
CS4003,Proyecto Final de Carrera II,Departamento de Computer Science,8,7,2021 - 1
BI0035,Bioinformática Avanzada,Departamento de Bioingeniería,11,5,2021 - 1
AM0001,Introducción a la Ingeniería Ambiental,Departamento de Ingeniería Ambiental,37,31,2021 - 1
QI6006,Transferencia de masa,Departamento de Química,14,11,2021 - 1
MT0001,Mecanismos y Transmisión de Movimiento,Departamento de Mecatrónica,19,13,2021 - 1
EN7003,Máquinas Térmicas,Departamento de Energía,24,22,2021 - 1
QI0003,Mineralogía Aplicada,Departamento de Química,20,21,2021 - 1
QI0034,Biotecnologías y Bioprocesos,Departamento de Química,11,10,2021 - 1
AM0002,Fisica y quimica ambiental,Departamento de Ingeniería Ambiental,15,16,2021 - 1
EN0022,Hidroenergía,Departamento de Energía,10,9,2021 - 1
EG4003,Estadística y Probabilidades ,Departamento de Ciencias,26,26,2014 - 0
EG3002,Procesos Históricos y Económicos del Perú y del Mundo Contemporáneo,Dirección de Humanidades Artes y Ciencias Sociales,125,125,2014 - 1
QI1001,Química y Biología,Departamento de Química,239,239,2014 - 1
IN4002,Investigación de Operaciones II,Departamento de Industrial,7,7,2014 - 1
QI3001,Química Orgánica,Departamento de Química,11,11,2014 - 1
QI1001,Química y Biología,Departamento de Química,32,32,2014 - 2
EG2002,Física II,Dirección de Ciencias,163,163,2014 - 2
EG3002,Procesos Históricos y Económicos del Perú y del Mundo Contemporáneo,Dirección de Humanidades Artes y Ciencias Sociales,62,62,2014 - 2
EN2001,Instalaciones Eléctricas,Departamento de Energía,16,16,2014 - 2
IN6004,Operaciones y procesos industriales,Departamento de Industrial,37,37,2014 - 2
ME5001,Termodinámica ,Departamento de Mecánica,40,40,2014 - 2
EN6001,Práctica I - EN,Departamento de Energía,7,7,2014 - 2
EG5002,Taller de arte y tecnología III,Dirección de Humanidades Artes y Ciencias Sociales,32,32,2014 - 2
IN3001,Investigación de Operaciones I,Departamento de Industrial,17,17,2014 - 2
IN2002,Programación y Tecnología de la Información,Departamento de Industrial,59,59,2014 - 2
EG2002,Física II,Dirección de Ciencias,9,9,2015 - 0
EG4001,Inglés III ,Dirección de Humanidades Artes y Ciencias Sociales,25,25,2015 - 0
EL4001,Circuitos Analógicos,Departamento de Electrónica,10,10,2015 - 0
EG5002,Taller de arte y tecnología III,Dirección de Humanidades Artes y Ciencias Sociales,5,5,2015 - 0
ME4001,Ciencia de los Materiales,Departamento de Ciencias,112,112,2013 - 2
EG4002,Taller de Arte y Tecnología II,Dirección de Humanidades Artes y Ciencias Sociales,107,107,2013 - 2
EG4003,Estadística y Probabilidades ,Departamento de Ciencias,68,68,2013 - 2
EN3001,Electricidad y Magnetismo,Departamento de Ciencias,9,9,2013 - 2
eg2001.,Cálculo II..,Dirección de Ciencias,162,162,2013 - 2
QI2001,Química Inorgánica,Departamento de Química,18,18,2013 - 2
QI1001,Química y Biología,Departamento de Química,57,57,2013 - 2
ME2001,Procesos de Manufactura,Departamento de Mecánica,30,30,2013 - 2
EG2005,Arte y Tecnología,Dirección de Humanidades Artes y Ciencias Sociales,32,32,2013 - 1
GG2002,Física General II,Dirección de Ciencias,157,157,2012 - 2
EG1004,Inglés 0,Dirección de Humanidades Artes y Ciencias Sociales,156,156,2015 - 1
ME7003,Ingeniería del mantenimiento ,Departamento de Mecánica,37,37,2015 - 1
EN1001,Realidad Energética Nacional e Internacional,Departamento de Energía,44,44,2015 - 1
QI1001,Química y Biología,Departamento de Química,303,303,2015 - 1
ME1001,Dibujo y Diseño para Ingeniería,Departamento de Mecánica,86,86,2015 - 1
QI3001,Química Orgánica,Departamento de Química,23,23,2015 - 1
EN3003,Ingeniería Eléctrica I,Departamento de Energía,12,12,2015 - 1
EG1464,"Seguridad, Salud y Medio Ambiente",Dirección de Humanidades Artes y Ciencias Sociales,152,152,2015 - 1
EG5002,Taller de arte y tecnología III,Dirección de Humanidades Artes y Ciencias Sociales,89,89,2015 - 1
QI0004,Geometalurgia,Departamento de Química,4,4,2015 - 1
IN6002,Taller de innovación y proyectos - IN,Departamento de Industrial,7,7,2015 - 1
EL7003,Control de procesos,Departamento de Electrónica,5,5,2015 - 1
QI2001,Química Inorgánica,Departamento de Química,11,11,2015 - 1
ME4003,Mecánica de Fluidos,Departamento de Mecánica,13,13,2015 - 1
EL4002,Modelado y Simulación,Departamento de Electrónica,75,75,2015 - 2
EG3004,Taller de Arte y Tecnología I,Dirección de Humanidades Artes y Ciencias Sociales,74,74,2015 - 2
EG4001,Inglés III ,Dirección de Humanidades Artes y Ciencias Sociales,42,42,2015 - 2
IN6003,Gestión de cadena de Suministros,Departamento de Industrial,22,22,2015 - 2
IN8003,Análisis y diseño de sistemas de manufactura,Departamento de Industrial,28,28,2015 - 2
EG3001,Ecuaciones Diferenciales,Departamento de Ciencias,80,80,2015 - 2
EN6001,Práctica I - EN,Departamento de Energía,6,6,2015 - 2
EL6003,Control Automático,Departamento de Electrónica,12,12,2015 - 2
ME0003,Seguridad en operaciones mineras,Departamento de Mecánica,8,8,2015 - 2
QI2001,Química Inorgánica,Departamento de Química,28,28,2015 - 2
ME6004,Mecánica de Fluidos - EN,Departamento de Mecánica,3,3,2015 - 2
EN1001,Realidad Energética Nacional e Internacional,Departamento de Energía,11,11,2015 - 2
EL7002,Instrumentación industrial,Departamento de Electrónica,5,5,2015 - 2
QI0016,Química de superficies,Departamento de Química,3,3,2015 - 2
GH1001,Comunicación Oral y Escrita I,Dirección de Humanidades Artes y Ciencias Sociales,242,242,2016 - 1
EG3004,Taller de Arte y Tecnología I,Dirección de Humanidades Artes y Ciencias Sociales,90,90,2016 - 1
EG9001,Generación de Modelos de Negocios,Dirección de Humanidades Artes y Ciencias Sociales,81,81,2016 - 1
EG4004,Gestión del Capital Humano ,Dirección de Humanidades Artes y Ciencias Sociales,89,89,2016 - 1
EL6003,Control Automático,Departamento de Electrónica,8,8,2016 - 1
IN8007,Ingeniería Ambiental,Departamento de Industrial,14,14,2016 - 1
EG4002,Taller de Arte y Tecnología II,Dirección de Humanidades Artes y Ciencias Sociales,80,80,2016 - 1
EG3001,Ecuaciones Diferenciales,Departamento de Ciencias,135,135,2016 - 1
ME5005,Laboratorio de Ciencia de los Materiales,Departamento de Mecánica,22,22,2016 - 1
CC3001,"Calor, Ondas y Optica",Departamento de Ciencias,38,38,2016 - 1
GH5001,Inglés IV,Dirección de Humanidades Artes y Ciencias Sociales,34,34,2016 - 1
IN8004,Sistemas de Información para Operaciones,Departamento de Industrial,6,6,2016 - 1
QI0003,Mineralogía Aplicada,Departamento de Química,13,13,2016 - 1
IN5004,Planeamiento de las Instalaciones y Manejo de Materiales,Departamento de Industrial,14,14,2016 - 1
ME0011,Ingeniería de la Confiabilidad,Departamento de Mecánica,4,4,2016 - 1
EN3004,Ingeniería Eléctrica,Departamento de Energía,26,26,2016 - 1
EG6001,Gerencia Financiera y de Costos,Dirección de Humanidades Artes y Ciencias Sociales,10,10,2016 - 0
IN2002,Programación y Tecnología de la Información,Departamento de Industrial,6,6,2016 - 0
EN7005,"Marco Legal Energético: Electricidad, Oíl & Gas",Departamento de Energía,10,10,2016 - 1
EL0001,TESIS en ECE II,Departamento de Electrónica,1,1,2016 - 1
EN5001,Máquinas Eléctricas ,Departamento de Energía,3,3,2016 - 1
EL4002,Modelado y Simulación,Departamento de Electrónica,104,104,2016 - 2
GH4002,Inglés III,Dirección de Humanidades Artes y Ciencias Sociales,65,65,2016 - 2
ME4006,Ciencia de los Materiales,Departamento de Mecánica,70,70,2016 - 2
ME5001,Termodinámica ,Departamento de Mecánica,78,78,2016 - 2
IN2001,Fundamentos de Programación,Departamento de Industrial,359,359,2016 - 2
IN4003,Diseño y Análisis del trabajo,Departamento de Industrial,18,18,2016 - 2
EL1001,Taller de Introducción a la Ingeniería,Departamento de Mecánica,222,222,2016 - 2
GH1002,Arte y Tecnología,Dirección de Humanidades Artes y Ciencias Sociales,160,160,2016 - 2
GHN001,Comunicación  0,Centro preuniversitario,147,147,2016 - 2
EG3004,Taller de Arte y Tecnología I,Dirección de Humanidades Artes y Ciencias Sociales,141,141,2016 - 2
EG4002,Taller de Arte y Tecnología II,Dirección de Humanidades Artes y Ciencias Sociales,117,117,2016 - 2
EL6005,Seminario de ECE,Departamento de Electrónica,19,19,2016 - 2
EN5003,Centrales Hidráulicas,Departamento de Energía,12,12,2016 - 2
EN0001,Tesis en Ingeniería de la Energía II,Departamento de Energía,4,4,2016 - 2
EN8003,Economía de la Energía,Departamento de Energía,9,9,2016 - 2
EN0013,Tópico especial,Departamento de Energía,6,6,2016 - 2
EN3004,Ingeniería Eléctrica,Departamento de Energía,22,22,2016 - 2
CC2001,Cálculo II,Departamento de Ciencias,255,255,2016 - 2
CC1001,Cálculo I,Departamento de Ciencias,185,185,2016 - 2
CC1002,Mecánica,Departamento de Ciencias,201,201,2016 - 2
EL7006,Instrumentación industrial,Departamento de Electrónica,7,7,2016 - 2
EL0044,Sistemas Industriales de Control,Departamento de Electrónica,3,3,2016 - 2
EG3001,Ecuaciones Diferenciales,Departamento de Ciencias,33,33,2017 - 0
CC1001,Cálculo I,Departamento de Ciencias,20,20,2017 - 0
EG0004,Desafíos Globales,Dirección de Humanidades Artes y Ciencias Sociales,684,684,2017 - 1
CS1100,Introducción a la Ciencia de la Computación,Departamento de Ciencias,707,707,2017 - 1
GH0006,Laboratorio de Comunicación 2,Dirección de Humanidades Artes y Ciencias Sociales,115,115,2017 - 1
GH0007,Introducción al Desarrollo de Empresas,Dirección de Gestión,225,225,2017 - 1
IN0002,Tesis en Ingeniería Industrial II,Departamento de Industrial,19,19,2017 - 1
GH0016,Liderazgo y negociación,Dirección de Gestión,48,48,2017 - 1
IN0065,Simulación de Operaciones,Departamento de Industrial,45,45,2017 - 1
GH0008,Gestión de Empresas,Dirección de Gestión,135,135,2017 - 1
ME3003,Estática,Departamento de Mecánica,42,42,2017 - 1
QI8003,Operaciones de Separación,Departamento de Química,6,6,2017 - 1
GH0012,Economías en Desarrollo,Dirección de Humanidades Artes y Ciencias Sociales,32,32,2017 - 1
ME0009,Análisis de Falla y Toma de Decisiones,Departamento de Mecánica,9,9,2017 - 1
IN5006,Diseño para Manufactura,Departamento de Industrial,24,24,2017 - 1
QI5002,Química Analítica,Departamento de Química,21,21,2017 - 1
IN0055,Ingeniería de Operaciones,Departamento de Industrial,53,53,2017 - 1
EN5002,Ingeniería del Gas Natural,Departamento de Energía,15,15,2017 - 1
GH0013,Crítica de la Modernidad,Dirección de Humanidades Artes y Ciencias Sociales,171,171,2017 - 1
ME0003,Seguridad en operaciones mineras,Departamento de Mecánica,6,6,2017 - 1
EN0035,Ingeniería de procesos de los hidrocarburos,Departamento de Energía,14,14,2017 - 1
EL0070,Tesis en ECE I,Departamento de Electrónica,3,3,2017 - 1
QI7004,Cinética y diseño de reactores,Departamento de Química,7,7,2017 - 1
CS1D01,Estructuras Discretas I,Departamento de Computer Science,34,34,2017 - 2
IN0002,Tesis en Ingeniería Industrial II,Departamento de Industrial,31,31,2017 - 2
IN6008,Tecnologías y Procesos de Fabricación,Departamento de Industrial,12,12,2017 - 2
IN9001,Tesis en Ingeniería Industrial I,Departamento de Industrial,15,15,2017 - 2
GH0008,Gestión de Empresas,Dirección de Gestión,225,225,2017 - 2
IN0065,Simulación de Operaciones,Departamento de Industrial,36,36,2017 - 2
IN7003,Diseño de Experimentos y Control Estadístico de la Calidad,Departamento de Industrial,35,35,2017 - 2
IN8006,Análisis y Diseño de Sistemas de Manufactura y Servicios,Departamento de Industrial,14,14,2017 - 2
GH5001,Inglés IV,Dirección de Humanidades Artes y Ciencias Sociales,44,44,2017 - 2
GH2001,Inglés I,Dirección de Humanidades Artes y Ciencias Sociales,216,216,2017 - 2
ME0007,Equipos y maquinaria minera,Departamento de Mecánica,14,14,2017 - 2
EL0065,Circuitos Eléctricos,Departamento de Electrónica,32,32,2017 - 2
EG0007,Proyecto Interdisciplinario I,Jefatura de Proyectos Académicos,405,405,2017 - 2
QI0003,Mineralogía Aplicada,Departamento de Química,6,6,2017 - 2
GH0006,Laboratorio de Comunicación 2,Dirección de Humanidades Artes y Ciencias Sociales,87,87,2018 - 0
GH0005,Laboratorio de Comunicación 1,Dirección de Humanidades Artes y Ciencias Sociales,61,61,2018 - 0
QI0028,Química Experimental,Departamento de Ciencias,594,11,2018 - 1
ME0022,Dinámica,Departamento de Mecánica,45,31,2018 - 1
GH0011,Innovación y Desarrollo de Productos,Dirección de Gestión,191,122,2018 - 1
IN8006,Análisis y Diseño de Sistemas de Manufactura y Servicios,Departamento de Industrial,29,25,2018 - 1
IN0060,Planeamiento y Control de Operaciones,Departamento de Industrial,21,2,2018 - 1
ME8006,Ingeniería de Mantenimiento,Departamento de Mecánica,37,33,2018 - 1
ME0001,Introducción a la Ingeniería de Minas,Departamento de Mecánica,14,8,2018 - 1
EL0042,Supervisión y Control por Computadora,Departamento de Electrónica,4,5,2018 - 1
MT0003,Sistemas Hidráulicos y Neumáticos,Departamento de Mecatrónica,20,6,2018 - 1
EG0008,Proyecto Interdisciplinario II,Jefatura de Proyectos Académicos,211,105,2018 - 1
IN6006,Teoría de Decisiones,Departamento de Industrial,43,42,2018 - 1
EN0025,Planificación y Economía de la Energía,Departamento de Energía,18,1,2018 - 1
QI0031,Química Orgánica Aplicada,Departamento de Química,9,3,2018 - 1
MT0006,Fundamentos de Robótica,Departamento de Mecatrónica,5,7,2018 - 1
CS1D02,Estructuras Discretas II,Departamento de Computer Science,40,21,2018 - 1
BI0001,Química Orgánica,Departamento de Bioingeniería,45,14,2018 - 1
QI0027,Química General,Departamento de Ciencias,275,1,2018 - 2
ME0009,Análisis de Falla y Toma de Decisiones,Departamento de Mecánica,21,14,2018 - 2
EL4002,Modelado y Simulación,Departamento de Electrónica,98,96,2018 - 2
EL0066,Circuitos Eléctricos y Analógicos,Departamento de Electrónica,64,54,2018 - 2
BI0002,Biología Celular y Molecular,Departamento de Bioingeniería,68,67,2018 - 2
QI6005,Transferencia de calor,Departamento de Química,48,35,2018 - 2
IN0056,Investigación de Operaciones I: Modelos Determinísticos,Departamento de Industrial,85,86,2018 - 2
CS2100,Algoritmos y Estructura de datos,Departamento de Computer Science,45,49,2018 - 2
CS1D02,Estructuras Discretas II,Departamento de Computer Science,82,84,2018 - 2
IN0083,Servicios Electrónicos,Departamento de Industrial,10,17,2018 - 2
IN0076,Gestión de Centros de Distribución y Transporte,Departamento de Industrial,35,27,2018 - 2
IN0082,Planeamiento de la Demanda,Departamento de Industrial,39,39,2018 - 2
EL0052,Sistemas Embebidos Interconectados,Departamento de Electrónica,7,7,2018 - 2
EL0070,Tesis en ECE I,Departamento de Electrónica,11,10,2018 - 2
IN0055,Ingeniería de Operaciones,Departamento de Industrial,70,48,2018 - 2
IN0054,Estadística y Probabilidades,Departamento de Ciencias,203,161,2018 - 2
EL0044,Sistemas Industriales de Control,Departamento de Electrónica,5,5,2018 - 2
IN0060,Planeamiento y Control de Operaciones,Departamento de Industrial,16,15,2018 - 2
EG0006,Matemáticas III,Departamento de Ciencias,70,70,2019 - 0
GH0015,Imagen y Marca Personal,Dirección de Humanidades Artes y Ciencias Sociales,70,70,2019 - 0
ME0004,Tesis en Ingeniería Mecánica II,Departamento de Mecánica,2,2,2019 - 0
QI6005,Transferencia de calor,Departamento de Química,7,7,2019 - 0
GH0006,Laboratorio de Comunicación 2,Dirección de Humanidades Artes y Ciencias Sociales,250,184,2019 - 1
ME0021,Termodinámica,Departamento de Ciencias,336,286,2019 - 1
BI0003,Fundamentos de Bioingeniería,Departamento de Bioingeniería,11,12,2019 - 1
EL0042,Supervisión y Control por Computadora,Departamento de Electrónica,10,9,2019 - 1
ME6006,Mecánica de Materiales,Departamento de Mecánica,65,48,2019 - 1
EL4002,Modelado y Simulación,Departamento de Electrónica,124,116,2019 - 1
GH0016,Liderazgo y negociación,Dirección de Gestión,82,79,2019 - 1
EL0046,Ingeniería Electromagnética,Departamento de Electrónica,4,7,2019 - 1
EL9002,Introducción a Cognitive Computing,Departamento de Electrónica,20,13,2019 - 1
IN0078,Gestión de Inventarios,Departamento de Industrial,19,20,2019 - 1
IN0076,Gestión de Centros de Distribución y Transporte,Departamento de Industrial,29,26,2019 - 1
IN8006,Análisis y Diseño de Sistemas de Manufactura y Servicios,Departamento de Industrial,30,28,2019 - 1
EN7003,Máquinas Térmicas,Departamento de Energía,27,27,2019 - 1
IN0062,Diseño de Productos y Servicios,Departamento de Industrial,48,36,2019 - 1
QI0042,Operaciones de Separación Físico-Mecánicas,Departamento de Química,10,6,2019 - 1
EG0009,Proyecto Interdisciplinario III,Jefatura de Proyectos Académicos,195,187,2019 - 1
GH5001,Inglés IV,Dirección de Humanidades Artes y Ciencias Sociales,39,31,2019 - 1
EN0034,Subestaciones y lineas de transmisión,Departamento de Energía,14,12,2019 - 1
EL0070,Tesis en ECE I,Departamento de Electrónica,10,10,2019 - 1
BI0022,Nanotecnología,Departamento de Bioingeniería,14,9,2019 - 1
MT0014,Control Inteligente,Departamento de Mecatrónica,6,8,2019 - 1
CS1103,Programación orientada a objetos II,Departamento de Computer Science,71,68,2019 - 1
CS2B01,Desarrollo basado en plataformas,Departamento de Computer Science,60,54,2019 - 1
GH0012,Economías en Desarrollo,Dirección de Humanidades Artes y Ciencias Sociales,176,161,2019 - 1
EG0005,Matemáticas II,Departamento de Ciencias,221,159,2019 - 1
EL0066,Circuitos Eléctricos y Analógicos,Departamento de Electrónica,46,33,2019 - 1
ME0012,Planificación Minera,Departamento de Mecánica,13,13,2019 - 1
CS1D02,Estructuras Discretas II,Departamento de Computer Science,27,22,2019 - 1
MT0002,Sensores y Actuadores,Departamento de Mecatrónica,8,7,2019 - 1
GH0025,English for STEAM,Dirección de Humanidades Artes y Ciencias Sociales,62,58,2019 - 1
QI0029,Química Avanzada,Departamento de Química,18,14,2019 - 1
EN5002,Ingeniería del Gas Natural,Departamento de Energía,9,10,2019 - 1
AM0040,Ecosistemas y Paisajes,Departamento de Ingeniería Ambiental,10,10,2019 - 1
GH0009,Perú: ¿País Industrial?,Dirección de Humanidades Artes y Ciencias Sociales,198,151,2019 - 2
ME3003,Estática,Departamento de Mecánica,85,58,2019 - 2
GH0025,English for STEAM,Dirección de Humanidades Artes y Ciencias Sociales,135,114,2019 - 2
GH0008,Gestión de Empresas,Dirección de Gestión,230,172,2019 - 2
ME0019,Física I,Departamento de Ciencias,454,252,2019 - 2
EG0003,Matemáticas I,Departamento de Ciencias,460,206,2019 - 2
CS2201,Arquitectura de computadoras,Departamento de Computer Science,30,20,2019 - 2
CS2B01,Desarrollo basado en plataformas,Departamento de Computer Science,30,21,2019 - 2
AM0040,Ecosistemas y Paisajes,Departamento de Ingeniería Ambiental,19,12,2019 - 2
IN0076,Gestión de Centros de Distribución y Transporte,Departamento de Industrial,26,22,2019 - 2
EL8005,Redes industriales,Departamento de Electrónica,9,8,2019 - 2
BI0027,Biomecánica,Departamento de Bioingeniería,19,23,2019 - 2
EL0044,Sistemas Industriales de Control,Departamento de Electrónica,10,9,2019 - 2
EL6004,Introducción a Sistemas Embebidos,Departamento de Electrónica,45,45,2019 - 2
QI0033,Análisis Químico para Ingeniería,Departamento de Química,19,11,2019 - 2
EL7006,Instrumentación industrial,Departamento de Electrónica,12,12,2019 - 2
EG0007,Proyecto Interdisciplinario I,Jefatura de Proyectos Académicos,328,254,2019 - 2
EL6003,Control Automático,Departamento de Electrónica,42,42,2019 - 2
IN6006,Teoría de Decisiones,Departamento de Industrial,11,9,2019 - 2
IN0056,Investigación de Operaciones I: Modelos Determinísticos,Departamento de Industrial,76,55,2019 - 2
QI0031,Química Orgánica Aplicada,Departamento de Química,11,6,2019 - 2
EL4003,Circuitos Digitales,Departamento de Electrónica,45,31,2019 - 2
CS2901,Ingeniería de Software I,Departamento de Computer Science,19,14,2019 - 2
CS2301,Redes y Comunicaciones,Departamento de Computer Science,20,22,2019 - 2
QI0001,Tesis en Ingeniería Química II,Departamento de Química,12,10,2019 - 2
AM0002,Fisica y quimica ambiental,Departamento de Ingeniería Ambiental,13,10,2019 - 2
EG0013,Proyecto Preprofesional,Jefatura de Proyectos Académicos,25,25,2019 - 2
GH1002,Arte y Tecnología,Dirección de Humanidades Artes y Ciencias Sociales,90,90,2020 - 0
EGN001,Ciencias 0,Jefatura de Procesos Académicos de Admisión,16,16,2020 - 0
AM0018,Curso Vivencial CSS,Departamento de Ingeniería Ambiental,9,9,2020 - 0
ME0023,Dibujo y Diseño para Ingeniería,Departamento de Mecánica,116,91,2020 - 1
GH0007,Introducción al Desarrollo de Empresas,Dirección de Gestión,256,193,2020 - 1
GH0016,Liderazgo y negociación,Dirección de Gestión,114,126,2020 - 1
ME0009,Análisis de Falla y Toma de Decisiones,Departamento de Mecánica,40,26,2020 - 1
IN0090,Ingeniería Financiera,Departamento de Industrial,35,41,2020 - 1
QI0034,Biotecnologías y Bioprocesos,Departamento de Química,10,4,2020 - 1
QI0040,Diseño de Reactores Químicos I,Departamento de Química,14,7,2020 - 1
ME0008,Gestión de Equipos y Maquinarias,Departamento de Mecánica,24,9,2020 - 1
GH0033,Discapacidad: Los Retos de la Inclusión,Dirección de Humanidades Artes y Ciencias Sociales,27,21,2020 - 1
BI0031,Ciencias Ómicas,Departamento de Bioingeniería,10,13,2020 - 1
ME0025,Diseño de Elementos de Máquinas,Departamento de Mecánica,29,23,2020 - 1
IN0061,Investigación de Operaciones II: Modelos Probabilísticos,Departamento de Industrial,62,48,2020 - 1
MT0006,Fundamentos de Robótica,Departamento de Mecatrónica,41,38,2020 - 1
ME4003,Mecánica de Fluidos,Departamento de Mecánica,86,71,2020 - 1
EN0022,Hidroenergía,Departamento de Energía,26,16,2020 - 1
EN0039,Energía Solar y Termosolar,Departamento de Energía,18,16,2020 - 1
EL0065,Circuitos Eléctricos,Departamento de Electrónica,12,8,2020 - 1
CS1100,Introducción a la Ciencia de la Computación,Departamento de Ciencias,329,44,2020 - 2
ME0019,Física I,Departamento de Ciencias,509,128,2020 - 2
GH0023,Business Communication,Dirección de Humanidades Artes y Ciencias Sociales,148,147,2020 - 2
EN5002,Ingeniería del Gas Natural,Departamento de Energía,18,15,2020 - 2
IN0076,Gestión de Centros de Distribución y Transporte,Departamento de Industrial,19,15,2020 - 2
EL0078,Técnicas en Redes IP,Departamento de Electrónica,14,14,2020 - 2
GH0010,Ética y tecnología,Dirección de Humanidades Artes y Ciencias Sociales,164,147,2020 - 2
MT0003,Sistemas Hidráulicos y Neumáticos,Departamento de Mecatrónica,34,39,2020 - 2
QI0034,Biotecnologías y Bioprocesos,Departamento de Química,15,14,2020 - 2
BI0029,Sistemas Biológicos,Departamento de Bioingeniería,16,25,2020 - 2
CS2901,Ingeniería de Software I,Departamento de Computer Science,20,20,2020 - 2
BI0019,Procesos de Biotecnología I,Departamento de Bioingeniería,14,9,2020 - 2
QI6005,Transferencia de calor,Departamento de Química,53,43,2020 - 2
EL5002,Análisis de Señales y Sistemas,Departamento de Electrónica,89,80,2020 - 2
AM0016,Estudios de Impacto Ambiental,Departamento de Ingeniería Ambiental,16,16,2020 - 2
BI0036,Ciencia y Cocina,Departamento de Bioingeniería,30,30,2020 - 2
QI0033,Análisis Químico para Ingeniería,Departamento de Química,12,10,2020 - 2
EN0027,Tesis en Ingenieria de la Energía I,Departamento de Energía,4,1,2020 - 2
IN0060,Planeamiento y Control de Operaciones,Departamento de Industrial,29,19,2020 - 2
EL4003,Circuitos Digitales,Departamento de Electrónica,68,57,2020 - 2
CI0010,Diseño de Infraestructura,Departamento de Civil,24,23,2020 - 2
CI0011,Ingeniería de Transporte I,Departamento de Civil,25,24,2020 - 2
AM0040,Ecosistemas y Paisajes,Departamento de Ingeniería Ambiental,18,13,2020 - 2
CI0003,Tecnologías Aplicadas y Mega Proyectos en Ingeniería Civil,Departamento de Civil,23,21,2020 - 2
GH0014,Culturas de Gobernanza y Distribución de Poder,Dirección de Humanidades Artes y Ciencias Sociales,90,81,2021 - 0
GH0015,Imagen y Marca Personal,Dirección de Humanidades Artes y Ciencias Sociales,30,30,2021 - 0
IN0054,Estadística y Probabilidades,Departamento de Ciencias,61,45,2021 - 0
GH1002,Arte y Tecnología,Dirección de Humanidades Artes y Ciencias Sociales,91,90,2021 - 0
CS1103,Programación orientada a objetos II,Departamento de Computer Science,16,21,2021 - 0
BI0035,Bioinformática Avanzada,Departamento de Bioingeniería,9,18,2021 - 0
GH0014,Culturas de Gobernanza y Distribución de Poder,Dirección de Humanidades Artes y Ciencias Sociales,170,133,2021 - 1
GH0025,English for STEAM,Dirección de Humanidades Artes y Ciencias Sociales,136,128,2021 - 1
EN5001,Máquinas Eléctricas ,Departamento de Energía,29,27,2021 - 1
ME0021,Termodinámica,Departamento de Ciencias,296,230,2021 - 1
AM0009,Hidrogeologia,Departamento de Ingeniería Ambiental,10,11,2021 - 1
CS1000,Introducción a la Ciencia de la Computación,Departamento de Computer Science,148,148,2021 - 1
ME0038,Tesis II,Departamento de Mecánica,8,6,2021 - 1
EL0070,Tesis en ECE I,Departamento de Electrónica,7,6,2021 - 1
ME0008,Gestión de Equipos y Maquinarias,Departamento de Mecánica,27,15,2021 - 1
GH0007,Introducción al Desarrollo de Empresas,Dirección de Gestión,250,166,2021 - 1
EG0007,Proyecto Interdisciplinario I,Jefatura de Proyectos Académicos,240,171,2021 - 1
EN0038,Energía Eólica,Departamento de Energía,25,20,2021 - 1
EN0020,Smart Grid,Departamento de Energía,21,18,2021 - 1
GH0012,Economías en Desarrollo,Dirección de Humanidades Artes y Ciencias Sociales,146,99,2021 - 1
CS2701,Base de datos I,Departamento de Computer Science,44,35,2021 - 1
GH0010,Ética y tecnología,Dirección de Humanidades Artes y Ciencias Sociales,250,166,2021 - 1
IN0090,Ingeniería Financiera,Departamento de Industrial,46,46,2021 - 1
ME6006,Mecánica de Materiales,Departamento de Mecánica,96,66,2021 - 1
AM0015,Desarrollo sustentable,Departamento de Ingeniería Ambiental,24,23,2021 - 1
GH0019,Emprendedores en Acción,Dirección de Humanidades Artes y Ciencias Sociales,45,38,2021 - 1
EL4003,Circuitos Digitales,Departamento de Electrónica,64,46,2021 - 1
GH0005,Laboratorio de Comunicación 1,Dirección de Humanidades Artes y Ciencias Sociales,45,6,2021 - 1
QI0033,Análisis Químico para Ingeniería,Departamento de Química,7,6,2021 - 1
AM0040,Ecosistemas y Paisajes,Departamento de Ingeniería Ambiental,10,10,2021 - 1
BI0001,Química Orgánica,Departamento de Bioingeniería,45,38,2021 - 1
QI0030,Procesos Químicos en la Industria,Departamento de Química,15,9,2021 - 1
EGN001,Ciencias 0,Jefatura de Procesos Académicos de Admisión,2,2,2021 - 1
QI1001,Química y Biología,Departamento de Química,8,8,2014 - 0
IN2001,Fundamentos de Programación,Departamento de Industrial,4,4,2014 - 0
EG5002,Taller de arte y tecnología III,Dirección de Humanidades Artes y Ciencias Sociales,83,83,2014 - 1
EG1002,Física I,Dirección de Ciencias,235,235,2014 - 1
ME1001,Dibujo y Diseño para Ingeniería,Departamento de Mecánica,80,80,2014 - 1
EG2001,Cálculo II,Dirección de Ciencias,55,55,2014 - 1
ME3001,Estática y Dinámica,Departamento de Mecánica,38,38,2014 - 1
